,description,runtime,id,imdb_score,release_year,title,type
12,"Live-action segments show members of the Disney staff touring South America and recording their impressions in sketches. These segue into four animated sections: ""Lake Titicaca"" depicts tourist Donald Duck's troubles with a stubborn llama; and in ""Aquarela do Brasil,"" Jose Carioca shows Donald the sights and sound of Rio de Janeiro.",42,tm77407,6.1,1942,Saludos Amigos,MOVIE
13,"Goofy shows us the national pastime. After a brief overview, we have a demonstration of the many possible pitches. On to the World Series, where we go through an eventful inning, culminating in a baseball that disintegrates when being hit.",8,tm71205,,1942,How to Play Baseball,MOVIE
14,"In the grand tradition of Disney's great musical classics, Melody Time features seven timeless stories, each enhanced with high-spirited music and unforgettable characters. You'll be sure to tap your toes and clap your hands in this witty feast for the eyes and ears.",75,tm5822,6.2,1948,Melody Time,MOVIE
15,"This Oscar-winning short tells of a bull who preferred to sit under trees and smell flowers to clashing horns with his fellow animals. As luck would have it, an untimely bee reveals Ferdinand's ferocious side via pained howls and wild stomping. This lands him in the bull-fighting arena amidst characters based on Walt's animators with a matador reportedly modeled after Walt himself.",8,tm8579,,1938,Ferdinand the Bull,MOVIE
16,"The two pigs building houses of hay and sticks scoff at their brother, building the brick house. But when the wolf comes around and blows their houses down (after trickery like dressing as a foundling sheep fails), they run to their brother's house. And throughout, they sing the classic song, ""Who's Afraid of the Big Bad Wolf?"".",8,tm134279,,1933,Three Little Pigs,MOVIE
17,"Mickey is performing routine maintenance on his tugboat (with interference from a pelican) when a call comes on the radio that there's a sinking ship needing assistance. Sadly, Mickey's crew consists of Donald and Goofy, so getting underway to help is not easy. Goofy has to fight a boiler's door to get it stoked with coal (and when he succeeds, he overfills it) and Donald gets tangled up in the machinery. Not to mention that nobody casts off, so they drag half the dock along with them. The overworked boiler soon explodes.",7,tm74410,,1940,Tugboat Mickey,MOVIE
18,A jealous stump threatens two trees that are in love by starting a forest fire. When the rain comes and puts out the fire the forest revives and celebrates the wedding.,8,tm4759,,1932,Flowers and Trees,MOVIE
19,A family setting out for a new life across the sea is shipwrecked on a deserted island. The family members collaborate to create a home for themselves in the jungle environment.,93,tm80290,6.4,1940,Swiss Family Robinson,MOVIE
20,"Produced by Walt Disney as part of the ""True-Life Adventures"" series of nature documentaries (1948–60). The film depicts a young male beaver who must defend his new family against hungry predators, mischievous river otters, and the ever-impending threat of winter.",32,tm60613,,1950,Beaver Valley,MOVIE
21,An outcast duckling's search for a family to accept him leads to constant rejection before learning his true identity as a swan.,9,tm330224,,1939,The Ugly Duckling,MOVIE
22,"The people of Hamelin, overrun with rats, offer a bag of gold to anyone who can get rid of the rats. A piper offers to do the job, and successfully lures the rats into a mirage of cheese, which disappears. The citizens, disappointed that all he did was play a tune, offer only pocket change. The piper, angered, plays a new tune that has all the children of the city follow him, even the new twins the stork is preparing to deliver.",8,tm137537,,1933,The Pied Piper,MOVIE
23,"Night in an old mill is dramatically depicted in this Oscar-winning short in which the frightened occupants, including birds, timid mice, owls, and other creatures try to stay safe and dry as a storm approaches. As the thunderstorm worsens, the mill wheel begins to turn and the whole mill threatens to blow apart until at last the storm subsides.",9,tm63024,,1937,The Old Mill,MOVIE
24,The Big Bad Wolf torments Little Red Riding Hood and the Three Little Pigs.,9,tm100567,,1934,The Big Bad Wolf,MOVIE
25,"Mickey has been reading Alice in Wonderland, and falls asleep. He finds himself on the other side of the mirror, where the furniture is alive. He eats a walnut, which makes him briefly larger, then small. He dances around a lot, ultimately doing a major number with a deck of cards. He dances with the queen, making the king jealous. He comes after Mickey with swords, and Mickey defends himself with a sewing needle. Mickey gets the upper hand, and the king calls for reinforcements. Mickey finds himself chased by several decks, which throw their spots at him. He turns on a fan and blows them away, back through the mirror, where his alarm is ringing.",9,tm116172,,1936,Thru the Mirror,MOVIE
26,"The goddess is greeted by dancing flowers and fairies. The devil comes and takes her away to be his queen. She's despondent, as winter settles in above ground. But the devil isn't happy either, and offers anything to make her happy. They reach an agreement: she'll spend six months above ground and six below. Thus we have seasons.",9,tm103817,,1934,The Goddess of Spring,MOVIE
27,"Taking all the places on both teams, Goofy demonstrates the game of football with varying results, having problems with the coach and the goal post.",7,tm4822,,1944,How to Play Football,MOVIE
28,"Toby Tortoise is back, and this time he and Max Hare box instead of racing.",7,tm116154,,1936,Toby Tortoise Returns,MOVIE
29,Santa's little helpers must hurry to finish the toys before Christmas Day.,7,tm4844,,1932,Santa's Workshop,MOVIE
30,Goofy's plans to give a swimming lesson and enjoy a day at the beach go awry.,8,tm71616,,1942,How to Swim,MOVIE
31,"Mickey, Donald, Goofy, and Pluto experience all that Hawaii has to offer. Donald tries hula dancing, Pluto explores the beach and Goofy takes up surfing!",8,tm65604,,1937,Hawaiian Holiday,MOVIE
32,Donald shows his nephews the moves that won him his hockey trophy. But the boys have a few moves of their own.,7,tm156870,,1939,The Hockey Champ,MOVIE
33,"The gang throws Mickey a surprise birthday party; his present is an electric organ, which Minnie plays while Mickey does a jazzy dance. Goofy bakes the cake, but keeps having trouble with it falling. The gang does a conga line to a Latin tune.",8,tm74440,,1942,Mickey's Birthday Party,MOVIE
34,"Donald needs a log for his fire. Unfortunately, the one he picks is occupied by a couple of chipmunks and their stash of acorns. When he cuts it down, Chip and Dale fall out, but their acorns stay behind, so they work at putting out Donald's fire and retrieving their stash. Donald, of course, takes this as calmly and cheerfully as you would expect.",7,tm94578,,1947,Chip an' Dale,MOVIE
35,"As in the classic fable, the grasshopper plays his fiddle and lives for the moment, while the industrious ants squirrel away massive amounts of food for the winter. With his song, he's able to convince at least one small ant until the queen arrives and scares him back to work. The queen warns the grasshopper of the trouble he'll be in, come winter. Winter comes, and the grasshopper, near starvation, stumbles across the ants, who are having a full-on feast in their snug little tree. They take him in and warm him up. The queen tells him only those who work can eat so he must play for them. Written by Jon Reeves",8,tm103794,,1934,The Grasshopper and the Ants,MOVIE
36,"The Tortoise and the Hare is an animated short film released on January 5, 1935 by United Artists, produced by Walt Disney and directed by Wilfred Jackson. Based on an Aesop's fable of the same name, The Tortoise and the Hare won the 1934 Academy Award for Best Short Subject: Cartoons. This cartoon is also believed to be one of the influences for Bugs Bunny.",9,tm165060,,1935,The Tortoise and the Hare,MOVIE
37,"Mickey buys a boat kit, and enlists Goofy and Donald to help assemble it. The plans say, ""so simple a child could do it"", so of course, they have their share of troubles. But before long, they're ready to launch the Queen Minnie, with appropriate fanfare, at which time, all the collapsible parts collapse.",7,tm7478,,1938,Boat Builders,MOVIE
38,"Donald continually heckles Mickey's magic act, but Mickey bests him at every turn. Donald shoots off a magic pistol that causes all the stage props to fall down on them at the finish of the act.",8,tm63962,,1937,Magician Mickey,MOVIE
39,"Even though Mickey's evening started slow and lazy, things get moving in a hurry when Minnie calls from outside the big dance, wondering why he's late. Luckily his best pal Pluto is happy to help wrangle the uncooperative evening wear and help get him out the door...without the tickets",7,tm89100,,1947,Mickey's Delayed Date,MOVIE
40,"Mickey's going golfing, and Pluto is his caddy. Besides the usual caddy duties, Pluto runs to the ball and points to it. But when the ball lands in a gopher hole, Pluto's got another task: chase the gopher. They eventually chase each other through a number of holes in a knoll where Mickey is trying to putt out, causing the knoll to collapse.",7,tm78040,,1941,Canine Caddy,MOVIE
41,"Goofy's demonstration of fishing is fouled up by his clumsy casting and fly fishing, and problems with his boat.",7,tm71199,,1942,How to Fish,MOVIE
42,"Chip and Dale are busy collecting nuts and hiding them in a tree, when Pluto comes along and tries to hide his bone in the same tree. When all of the nuts end up in Pluto's dog house, Chip and Dale must come up with a way to get the nuts back.",7,tm65788,,1950,Food for Feudin',MOVIE
43,"Jealous over Mickey's attention to a kitten, Pluto's devil-self argues with his angel-self over whether or not to rescue the kitten when it falls into a well.  The angel-self wins, and Pluto is treated like a hero.  In the end, he and the kitten become friends.",8,tm87845,,1941,Lend a Paw,MOVIE
44,"Goofy's in the driver's seat, Mickey's in the kitchen, and Donald's in bed in Mickey's high-tech house trailer. When Goofy comes back to eat breakfast, leaving the car on autopilot, it takes them onto a dangerous closed mountain road. When Goofy realizes this, he accidentally unhooks the trailer, sending it on a perilous route. They come very close to disaster several times, while the oblivious Goofy drives on and hooks back up to them.",7,tm8026,,1938,Mickey's Trailer,MOVIE
45,"Donald, driving in the country, is frustrated in his attempts to fix a flat tire. The jack breaks, the radiator explodes, then the remaining three tires go flat. Donald gives up in disgust and drives on with the flats. The film features references to the rubber shortage during World War II.",7,tm113865,,1943,Donald's Tire Trouble,MOVIE
46,Mickey shows off his ice-skating skills to Minnie; Goofy does some unconventional ice fishing; Donald straps skates to Pluto and laughs at his attempts to skate. Donald gets strapped to a kite and is about to be swept over a waterfall when Mickey pulls off an heroic rescue.,8,tm160443,,1935,On Ice,MOVIE
47,"Donald Duck tries to exhibit his golfing ability to his nephews only to have them tease him with sneezes, noises and ""trick"" clubs. Finally, they put a grasshopper in a ball and it ""jumps"" all over.",8,tm8162,,1938,Donald's Golf Game,MOVIE
48,Donald is an admiral on a seagoing voyage with his nephews in which they encounter a ravenous shark.,8,tm164081,,1939,Sea Scouts,MOVIE
49,"Mickey is trying to lead a concert of The William Tell Overture, but he's continually disrupted by ice cream vendor Donald, who uses a seemingly endless supply of flutes to play Turkey in the Straw instead. After Donald gives up, a bee comes along and causes his own havoc. The band then reaches the Storm sequence, and the weather also starts to pick up; a tornado comes along, but they keep playing.",9,tm165357,,1935,The Band Concert,MOVIE
50,"King Midas is visited by an elf; the elf turns his cat to gold, then claps his hands and it changes back. Midas begs for the golden touch, but the elf warns him it would be a curse to him. Midas insists. He dances about joyfully at first, but discovers the drawbacks when he sits down to dinner. Fearing death by starvation, he summons the elf and agrees to surrender everything he owns to have the curse lifted.",10,tm161340,,1935,The Golden Touch,MOVIE
51,"It's time to laugh like crazy as Mickey, Goofy and Donald fight against raging gears, twisted springs, deafening bells and a sleeping stork. Watch them reach new heights of humor as their valiant efforts to clean a bell tower turn into a real circus!",9,tm64663,,1937,Clock Cleaners,MOVIE
52,"Mickey, in the Australian bush, throws a boomerang that gets caught in Pluto’s mouth. Mickey then discovers an egg of an emu. Unfortunately, the parent chases him, but Pluto and the boomerang zoom into his path, leaving the emu all tangled.",7,tm7388,,1948,Mickey Down Under,MOVIE
53,Two little pigs cry wolf on their brother and then an actual wolf comes.,9,tm112420,,1936,Three Little Wolves,MOVIE
54,"Mickey accidentally takes a seal home, after it sneaks into his picnic basket. When Mickey takes a bath, the seal is discovered and Mickey returns him to the park. Later, however, Mickey and Pluto discover that the bathroom is filled with seals!",7,tm7466,,1948,Mickey and the Seal,MOVIE
55,"Mickey is heading out on vacation from Burbank to Pomona, taking the train. The conductor, Pete, won't let him on with Pluto, so he hides Pluto in his suitcase, and tries to hide him all throughout the trip without much luck. But Pete wins when Pluto is hooked by a mail hook. Or does he?",8,tm76217,,1940,Mr. Mouse Takes a Trip,MOVIE
56,"A basketball game of Goofs (P.U. vs. U.U.) in which the players play furiously, often breaking the rules of the game. All of the players are named after Disney artists.",7,tm91651,,1946,Double Dribble,MOVIE
57,"Join Donald Duck in his debut in the classic animated short The Wise Little Hen. The Little Hen is planting corn and would like to have help from Peter Pig and Donald Duck, but they refuse stating they each have a ""tummy ache."" When it comes time to harvest the corn, Peter Pig and Donald still refuse to help the Hen, so she and her chicks do the harvest by themselves. Finally, the hen cooks the corn and offers some to Donald and Peter Pig, but when they look more carefully they discover a surprise.",8,tm97393,,1934,The Wise Little Hen,MOVIE
58,Donald decides to try cooking along with a radio show.,7,tm78018,,1941,Chef Donald,MOVIE
59,"The snow covered mountains; but not to worry, rescue dog Pluto is on duty. Actually, given that he barely keeps himself safe, maybe you should worry. A playful seal keeps stealing his cask of grog.",7,tm90592,,1947,Rescue Dog,MOVIE
60,Pluto discovers that a gopher has been stealing bones from his hidden stash.,7,tm4872,,1948,Bone Bandit,MOVIE
61,"Minnie's old friend, Mortimer Mouse, drops in on Mickey and Minnie's picnic. His practical jokes and coming on to Minnie soon have Mickey stewing, and their car isn't happy either. When Mortimer gets a nearby bull enraged and takes off, the car comes to the rescue after Mickey gets tangled up in a red blanket.",8,tm110541,,1936,Mickey's Rival,MOVIE
62,"Donald Duck is at the beach and tries to ride a rubber horse. He notices Pluto sleeping at the shore and decides to have some fun with him by sending the rubber horse over to Pluto which completely mesmerizes him. Meanwhile, a tribe of ants abduct Donald's picnic lunch. Donald lays out fly paper to stop the ants. Pluto follows one of the ants and, of course, he and later Donald become enmeshed in the fly paper",8,tm161054,,1939,Beach Picnic,MOVIE
63,"Donald steals Chip and Dale's nuts for his nut-butter shop, which is shaped like a giant walnut, Chip and Dale, roll and ""shoot"" Donald into a nearby lake.",7,tm62513,,1949,All in a Nutshell,MOVIE
64,"Rather out of place at a swanky dog show, Pluto flirts with Fifi, a dainty Pekingese. The judge orders Mickey and Pluto to leave, but when a fire breaks out Pluto rescues Fifi and is proclaimed a hero.",8,tm160483,,1939,Society Dog Show,MOVIE
65,"The princess is to wed the Prince against her wishes. When she refuses, the king locks her in the tower. Minstrel Mickey sees her and rescues her, making a rope from the clothes of lady-in-waiting Clarabell. The king spots them and prepares to chop off Mickey's head until Minnie intercedes. The king calls for a joust. Mickey wins and they live happily ever after.",8,tm141685,,1933,Ye Olden Days,MOVIE
66,"On a dark and stormy night, four bored ghosts decide to have some fun by calling the ""Ajax Ghost Exterminators."" Shriek with laughter as ghost hunters Mickey, Donald and Goofy are scared silly by the hilarious haunts and taunts of these spirited pranksters!",9,tm67239,,1937,Lonesome Ghosts,MOVIE
67,Two children wander the forest and get lured into a witch's house.,8,tm3021,,1932,Babes in the Woods,MOVIE
68,"Pluto tries to bring in the mail, which gets more difficult when a package sprouts legs and tries to go swimming. Between the wandering turtle and the wind blowing the other mail around, Pluto's got quite a task ahead. And it's not made easier when both the letters and the turtle go off a large cliff.",7,tm60305,,1949,Pluto's Surprise Package,MOVIE
69,"It's October 7th and Chip is working industriously to store enough acorns in the tree for the winter. Dale would rather sleep in his matchbox, but an angry kick from Chip gets him working furiously. But there's only so much they can do. Their tree is nearly out of acorns. Luckily, the two semi-intelligible chipmunks happen to see the half-unintelligible Donald Duck, a park ranger, planting acorns. They immediately set to steal his bag of the precious nuts. Donald soon realizes what they are up to, and sets out a box propped up with a stick. It's a crude trap, with an acorn as bait; but it's not too crude to fool Dale, who upsets it and traps Chip. Soon, Donald finds he can have fun instigating a fight between these two quarrelsome chipmunks, but he underestimates their friendship and their ability to work as a team against a common enemy: in this case, a bad-tempered duck.",7,tm67092,,1949,Winter Storage,MOVIE
70,A narrator explains the history of the Olympic Games while Goofy demonstrates events.,7,tm72295,,1942,The Olympic Champ,MOVIE
71,"By accident, Cedric (Goofy), replaces his master, Sir Loinsteak, in the armor just before the joust with champion Sir Cumference.",7,tm1454,,1946,A Knight for a Day,MOVIE
72,"As the title implies, the three blind mice are musketeers. The cat sets a number of traps for them, which they all evade (apparently without realizing it) while he sleeps. The cat eventually wakes up and begins chasing them unsuccessfully, thanks to their teamwork.",9,tm112317,,1936,Three Blind Mouseketeers,MOVIE
73,"Mickey wants some of the cake Minnie has just baked, so he offers to clean up her yard. As he's working, a tiny tornado (smaller than him) with a mind of its own comes along and causes trouble. After Mickey finally chases the little twister off, it gets its big brother, which makes a grand mess of the yard. Most of the cartoon, except for the opening and closing, has no dialogue.",8,tm82574,,1941,The Little Whirlwind,MOVIE
74,"Minnie Mouse knits a sweater for Pluto. When she puts it on him, Pluto does whatever he can to try to get it off, eventually shrinking it to the perfect size for Figaro.",7,tm64710,,1949,Pluto's Sweater,MOVIE
75,"Donald visits the house of his new love interest for their first known date. At first Daisy acts shy and has her back turned to her visitor. But Donald soon notices her tailfeathers taking the form of a hand and signaling for him to come closer. But their time alone is soon interrupted by Huey, Dewey and Louie who have followed their uncle and clearly compete with him for the attention of Daisy. Uncle and nephews take turns dancing the jitterbug with her while trying to get rid of each other. In their final effort the three younger Ducks feed their uncle maize in the process of becoming popcorn. The process is completed within Donald himself who continues to move wildly around the house while maintaining the appearance of dancing. The short ends with an impressed Daisy showering her new lover with kisses",8,tm75668,,1940,Mr. Duck Steps Out,MOVIE
76,"Goofy, staying at the Sugar Bowl resort, demonstrates the basics of downhill skiing, which the titles and announcer insist is pronounced ""SHEEing"". The equipment is, of course, of the era. As you can imagine, Goofy has much trouble keeping his skis parallel and pointing downhill. The final ski jump conveniently lands Goofy right back in bed.",8,tm84573,,1941,The Art of Skiing,MOVIE
77,"Donald has to get up early, but everything seems to be working to keep him awake. His loudly ticking alarm clock resists several attempts to quiet it. Donald ultimately swallows it; the glow-in-the-dark dial can be seen through his feathers. Then his folding bed folds up on him. Springs start popping out of it; Donald builds an elaborate framework to hold it down. Finally, enough of the clock reassembles itself to sound the alarm and night is over.",8,tm87968,,1941,Early to Bed,MOVIE
78,Pluto digs up Minnie's garden and destroys her house in order to catch a pesky gopher-in spite of Minnie's scoldings.,7,tm63613,,1950,Pluto and the Gopher,MOVIE
79,"Donald and the chipmunks, Chip and Dale, are after each other again, this time when they come upon Donald vacationing in a trailer. When he goes swimming, they fool him by moving the diving board and end up wrecking his car.",6,tm63504,,1950,Trailer Horn,MOVIE
80,"When a pilot has to turn back due to a severe storm, he drops the mail at a remote outpost where it can be delivered by dogsled. The falling mail pouch lands on Pluto, and he sets out to deliver it. He is continually delayed by a rabbit along the way, but in the end, the rabbit helps Pluto deliver the mail pouch.",7,tm95977,,1947,Mail Dog,MOVIE
81,"With a rubber bone as a lure, Donald Duck tries to entice Pluto to try his mechanical dog washer. When the bone gives Pluto trouble, Donald tries a toy cat as a lure only to unexpectedly fall into the washer himself, get scrubbed and then hung out on the line to dry.",8,tm76325,,1940,Donald's Dog Laundry,MOVIE
82,"Mickey Mouse sends Pluto to buy sausage at the butcher shop, but Butch schemes to steal it.",7,tm5618,,1948,Pluto's Purchase,MOVIE
83,"Little Elmer Elephant has a crush on Tillie Tiger and his affection is reciprocated. Trouble is, the pint-sized pachyderm is beset by bullies who ridicule his trunk and make his life miserable. Then a conflagration breaks out at Tillie's tree house.",8,tm117183,,1936,Elmer Elephant,MOVIE
84,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey becomes a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",175,tm88215,8.1,1965,The Sound of Music,MOVIE
85,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,125,tm1,8.6,1977,Star Wars,MOVIE
86,Go behind the curtains as Kermit the Frog and his muppet friends struggle to put on a weekly variety show.,25,ts22470,8.4,1976,The Muppet Show,SHOW
87,A magical nanny employs music and adventure to help two neglected children become closer to their father.,139,tm189724,7.8,1964,Mary Poppins,MOVIE
88,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,97,tm74066,7.6,1979,The Muppet Movie,MOVIE
89,This joyous celebration of frontier life combines tender romance and violent passion in the Oklahoma Territory of the 1900s with a timeless score filled with unforgettable songs. Rodgers and Hammerstein's hit Broadway musical.,148,tm114017,7.0,1955,Oklahoma!,MOVIE
90,"Dolly Levi is a strong-willed matchmaker who travels to Yonkers, New York in order to see the miserly ""well-known unmarried half-a-millionaire"" Horace Vandergelder. In doing so, she convinces his niece, his niece's intended, and Horace's two clerks to travel to New York City.",146,tm81911,7.0,1969,"Hello, Dolly!",MOVIE
91,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",127,tm562,7.2,1954,"20,000 Leagues Under the Sea",MOVIE
92,"Schoolhouse Rock! is an American interstitial programming series of animated musical educational short films that aired during the Saturday morning children's programming on the U.S. television network ABC. The topics covered included grammar, science, economics, history, mathematics, and civics. The series' original run lasted from 1973 to 1985, and was later revived with both old and new episodes airing from 1993 to 1999. Additional episodes were produced as recently as 2009 for direct-to-video release.",3,ts30718,8.2,1973,Schoolhouse Rock!,SHOW
93,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",124,tm2,8.7,1980,The Empire Strikes Back,MOVIE
94,"The explorer craft USS Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the USS Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, but the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans.",98,tm73079,5.9,1979,The Black Hole,MOVIE
95,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!",75,tm130611,7.4,1951,Alice in Wonderland,MOVIE
96,"After being shipwrecked, the Robinson family is marooned on an island inhabited only by an impressive array of wildlife. In true pioneer spirit, they quickly make themselves at home but soon face a danger even greater than nature: dastardly pirates. A rousing adventure suitable for the whole family, this Disney adaptation of the classic Johann Wyss novel stars Dorothy McGuire and John Mills as Mother and Father Robinson.",126,tm58193,7.1,1960,Swiss Family Robinson,MOVIE
97,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",78,tm102135,7.1,1970,The Aristocats,MOVIE
98,"Two identical twin sisters, separated at birth by their parents' divorce, are reunited years later at a summer camp, where they scheme to bring their parents back together. The girls, one of whom has been living with their mother and the other with their father, switch places after camp and go to work on their plan, the first objective being to scare off a gold-digger pursuing their father.",129,tm42943,7.2,1961,The Parent Trap,MOVIE
99,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.",83,tm186525,7.5,1973,Robin Hood,MOVIE
100,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way.",79,tm32115,7.1,1963,The Sword in the Stone,MOVIE
101,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",77,tm105286,7.3,1953,Peter Pan,MOVIE
102,Three children evacuated from London during World War II are forced to stay with an eccentric spinster (Eglantine Price). The children's initial fears disappear when they find out she is in fact a trainee witch.,117,tm14236,7.0,1971,Bedknobs and Broomsticks,MOVIE
103,"Young Travis Coates is left to take care of the family ranch with his mother and younger brother while his father goes off on a cattle drive in the 1860s. When a yellow mongrel comes for an uninvited stay with the family, Travis reluctantly adopts the dog.",83,tm124682,7.3,1957,Old Yeller,MOVIE
104,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",78,tm121851,7.6,1967,The Jungle Book,MOVIE
105,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.,132,tm37937,7.0,1959,Journey to the Center of the Earth,MOVIE
106,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.",76,tm111159,7.3,1955,Lady and the Tramp,MOVIE
107,"Whether we’re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures.",74,tm91105,7.5,1977,The Many Adventures of Winnie the Pooh,MOVIE
108,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of its own, not realizing Herbie's worth until a sneaky rival plots to steal him.",107,tm11010,6.5,1968,The Love Bug,MOVIE
109,A variety show featuring a cast of child performers.,31,ts28051,7.6,1955,The Mickey Mouse Club,SHOW
